business_activity,category,scale_or_specification,unit,reference_cost_min_inr,reference_cost_max_inr,cost_basis,source_authority,source_year,state_or_scope,source_page,official_source_url,notes,provenance_priority,use_for_vittanaya
Agri Clinic & Agri Business Centers,Rural business services,Small,No.,2500000,2500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Agri Produce Transport / Marketing,Transport & logistics,Mobility support 4-wheeler,No.,1000000,1000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Agro Processing Unit - Cashew Processing,Agro processing,Cashew processing,No.,1500000,1500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Agro Processing Unit - Leaf Plate Making,Agro processing,Leaf plate making,No.,300000,300000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Bee Keeping,Apiculture,Boxes,No.,305232,305232,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Bore Well,Water resources,New,No.,132000,132000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Bulk Milk Cooling Unit,Dairy,Milk cooling unit,No.,1178000,1178000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Cold Storage,Agri infrastructure,Horticulture produce,No.,150000,150000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Combine Harvester,Farm mechanization,Self-propelled belt type / 68,No.,2660200,2660200,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Commercial Broiler Farming,Poultry,"Hybrid broiler, deep litter, 1000 birds",1000 birds,647000,647000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Commercial Layer Farming,Poultry,10000 birds,10000 birds,10731000,10731000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Composite Fish Culture,Fisheries,Composite fish culture,ha,355000,355000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Composite Fish Culture - New Tanks,Fisheries,New tanks,ha,505000,505000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
NADEP Compost,Compost,NADEP,No.,27200,27200,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Vermi Compost,Compost,Vermi compost,No.,36000,36000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Cottage Industry - Masala Making,Food processing,Masala making,No.,2000000,2000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Cottage Industry - Papad/Pickle/Chips/Badi,Food processing,"Papad, pickle, chips, badi",No.,200000,200000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Crossbred Cattle Farming,Dairy,1+1,unit,246000,246000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Custom Hiring Centre - Large,Farm services,Large,No.,10000000,10000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Custom Hiring Centre - Small,Farm services,Small,No.,3000000,3000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Dairy Marketing Outlet / Parlour,Dairy retail,Marketing outlet / parlour,No.,1000000,1000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Dal / Pulses Mill,Food processing,Mini,No.,200000,200000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Diesel Pump Set - Small,Farm mechanization,Small unit,No.,14410,14410,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Diesel Pump Set - Large,Farm mechanization,Large unit,No.,36300,36300,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Drinking Water,Water services,Community/business unit,No.,1000000,1000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Drip Irrigation - Standard,Irrigation,Per hectare,ha,145000,145000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Drip Irrigation - Micro,Irrigation,Micro,ha,40000,40000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Dryland Horticulture - Pomegranate,Horticulture,Pomegranate,acre,211536,211536,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Dug Well,Water resources,New,No.,162800,162800,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Education - School,Education,School,No.,30000000,30000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Education Loan - Study in Country,Education finance,Higher education,No.,1000000,1000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Electric Pump Set,Farm mechanization,Electric pump,No.,35310,35310,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Artisan Support Entity - Inputs,Artisan support,Input supply - small,No.,50000,50000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Artisan Support Entity - Inputs,Artisan support,Input supply - medium,No.,300000,300000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Artisan Support Entity - Inputs,Artisan support,Input supply - larger,No.,500000,500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Export Credit - Pre Shipment,Export / working capital,Pre shipment,No.,30000000,30000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Export Credit - Post Shipment,Export / working capital,Post shipment,No.,30000000,30000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Farm Pond / Water Harvesting,Water resources,Dugout pond Farm Pond II,No.,171420,171420,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
